epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8114,2.70461,4.93517,1.61932,0,0,0,0,2.30431,5.05063,1.44878,5.004e-05,5.004e-05,5.004e-05
2,98.5043,2.00021,4.651,1.23949,0,0,0,0,2.22263,4.89484,1.38437,0.000104594,0.000104594,0.000104594
3,141.529,1.7708,4.27077,1.14579,0.00994,0.16364,0.04598,0.0321,1.644,4.56998,1.10689,0.000158047,0.000158047,0.000158047
4,185.415,1.71835,3.79208,1.11298,0.90682,0.03889,0.08079,0.05231,1.51806,4.284,1.03263,0.0002104,0.0002104,0.0002104
5,228.304,1.73801,3.34632,1.11259,0.88732,0.0917,0.14991,0.0884,1.51859,3.85528,1.01349,0.000261651,0.000261651,0.000261651
6,272.762,1.70901,3.10907,1.11619,0.02936,0.5189,0.17974,0.10295,1.50194,3.69831,1.03709,0.000311802,0.000311802,0.000311802
7,319.315,1.59856,2.84087,1.06675,0.03398,0.61335,0.23309,0.13423,1.46596,3.39487,1.02946,0.000360852,0.000360852,0.000360852
8,369.631,1.63475,2.61212,1.06587,0.47806,0.21888,0.29062,0.17735,1.45234,2.81723,1.03352,0.000408801,0.000408801,0.000408801
9,419.214,1.58312,2.50832,1.03211,0.56425,0.21269,0.29319,0.17602,1.50111,2.75022,1.04654,0.000455649,0.000455649,0.000455649
10,466.729,1.50697,2.41516,1.02557,0.45583,0.36667,0.34102,0.20964,1.42268,2.43935,1.02833,0.000501396,0.000501396,0.000501396
11,514.566,1.55154,2.27519,1.05287,0.43664,0.3823,0.35306,0.2112,1.49654,2.33587,1.05087,0.000500956,0.000500956,0.000500956
12,563.935,1.56524,2.2818,1.03402,0.43525,0.43743,0.38948,0.24816,1.36953,2.2277,1.01515,0.000495452,0.000495452,0.000495452
13,611.663,1.4712,2.07207,1.02051,0.54827,0.33052,0.4046,0.26036,1.42006,2.1484,1.02043,0.000489947,0.000489947,0.000489947
